tconst,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt2253604,tt1520211,3,6,8.1,12240
tt2253606,tt1520211,3,7,8.5,12554
tt2253608,tt1520211,3,8,8.9,14056
tt2253610,tt1520211,3,5,8.0,12406
tt2269550,tt1520211,3,9,8.0,12501
tt2401094,tt1520211,3,10,8.6,13299
tt2521154,tt1520211,3,11,7.7,12215
tt2521158,tt1520211,3,12,8.7,14272
tt2521162,tt1520211,3,13,7.7,12516
tt2521168,tt1520211,3,14,7.8,12463
tt2521172,tt1520211,3,15,8.8,14085
tt2521182,tt1520211,3,16,8.2,14240
tt2795750,tt1520211,4,1,8.1,14612
tt2931446,tt1520211,4,2,8.3,12858
tt2948628,tt1520211,4,4,7.9,12206
tt2948630,tt1520211,4,6,7.7,12855
tt2948632,tt1520211,4,3,7.9,12166
tt2948634,tt1520211,4,7,7.7,12408
tt2948636,tt1520211,4,5,8.8,14475
tt2948638,tt1520211,4,8,9.6,29878
tt3259044,tt1520211,4,12,7.3,15631
tt3260594,tt1520211,4,10,8.0,12313
tt3260610,tt1520211,4,15,8.4,12231
tt3260612,tt1520211,4,16,9.1,18402
tt3297776,tt1520211,5,1,9.6,30859
tt3316794,tt1520211,4,11,8.1,12063
tt3316796,tt1520211,4,13,7.9,12353
tt3316798,tt1520211,4,9,8.0,13304
tt3316800,tt1520211,4,14,9.2,18888
tt3646000,tt1520211,5,2,8.5,14112
tt3689244,tt1520211,5,3,9.0,16208
tt3712494,tt1520211,5,4,7.4,13863
tt3714480,tt1520211,5,5,7.9,12600
tt3714484,tt1520211,5,6,8.0,12373
tt3714490,tt1520211,5,7,7.8,11760
tt3714498,tt1520211,5,8,8.7,15459
tt3853912,tt1520211,5,9,7.9,14802
tt3853914,tt1520211,5,10,7.5,12789
tt3853916,tt1520211,5,11,8.4,12161
tt3853920,tt1520211,5,12,8.6,12525
tt3853922,tt1520211,5,13,7.8,11402
tt3853924,tt1520211,5,14,8.9,13888
tt3853926,tt1520211,5,15,8.5,12415
tt3853928,tt1520211,5,16,9.2,18420
tt4211958,tt1520211,6,1,8.6,17020
tt4323856,tt1520211,6,7,8.0,11578
tt4452400,tt1520211,6,2,9.2,17537
tt4575388,tt1520211,6,9,9.6,32543
tt4589566,tt1520211,6,8,8.0,12434
tt4589574,tt1520211,6,16,7.0,33816
tt4719614,tt1520211,6,3,9.2,18641
tt4719620,tt1520211,6,4,8.2,15825
tt4719650,tt1520211,6,5,7.2,12183
tt4719674,tt1520211,6,6,7.6,11652
tt4776068,tt1520211,6,10,8.3,12677
tt4776070,tt1520211,6,11,8.1,11206
tt4776072,tt1520211,6,12,9.0,14087
tt4776078,tt1520211,6,13,8.6,12932
tt4776082,tt1520211,6,14,8.0,11259
tt4776088,tt1520211,6,15,7.9,11330
tt5164772,tt1520211,7,1,9.2,44666
tt5207722,tt1520211,7,2,7.1,14837
tt5207726,tt1520211,7,3,7.5,13334
tt5207730,tt1520211,7,4,7.6,13153
tt5207732,tt1520211,7,5,6.8,12265
