tconst,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt1941258,tt1826940,1,1,7.5,2943
tt2043466,tt1826940,1,10,7.6,1697
tt2043467,tt1826940,1,12,8.0,1777
tt2043468,tt1826940,1,11,7.8,1656
tt2043469,tt1826940,1,13,7.8,1598
tt2043470,tt1826940,1,2,7.2,2118
tt2043471,tt1826940,1,3,7.5,2030
tt2043472,tt1826940,1,5,7.7,1814
tt2043473,tt1826940,1,7,7.0,1720
tt2043474,tt1826940,1,6,7.7,1801
tt2043476,tt1826940,1,8,7.4,1686
tt2043477,tt1826940,1,15,7.8,1676
tt2065492,tt1826940,1,4,7.9,1991
tt2125218,tt1826940,1,9,7.6,1657
tt2196901,tt1826940,1,16,7.3,1449
tt2201825,tt1826940,1,14,7.3,1478
tt2217758,tt1826940,2,1,7.3,1506
tt2217760,tt1826940,2,2,7.7,1520
tt2274825,tt1826940,1,19,8.1,1567
tt2289125,tt1826940,1,17,7.8,1550
tt2324699,tt1826940,1,18,7.9,1484
tt2332173,tt1826940,1,20,7.6,1422
tt2344845,tt1826940,1,21,7.8,1487
tt2358139,tt1826940,1,22,7.5,1442
tt2367667,tt1826940,1,23,7.5,1418
tt2367868,tt1826940,2,4,7.1,1395
tt2393167,tt1826940,1,24,7.8,1503
tt2409188,tt1826940,2,3,7.6,1396
tt2449072,tt1826940,2,5,7.7,1414
tt2450694,tt1826940,2,8,7.6,1342
tt2459178,tt1826940,2,6,7.8,1397
tt2487744,tt1826940,2,7,7.7,1442
tt2516090,tt1826940,2,9,7.5,1310
tt2528700,tt1826940,2,10,7.7,1306
tt2544546,tt1826940,2,11,8.1,1435
tt2595828,tt1826940,2,12,7.7,1348
tt2608888,tt1826940,2,13,7.0,1251
tt2623294,tt1826940,2,14,7.9,1419
tt2636338,tt1826940,2,15,9.1,2635
tt2650840,tt1826940,2,16,8.0,1385
tt2651994,tt1826940,2,18,7.7,1265
tt2675986,tt1826940,2,17,8.1,1384
tt2734476,tt1826940,2,22,7.5,1204
tt2738570,tt1826940,2,19,8.4,1616
tt2752714,tt1826940,3,1,7.7,1369
tt2772150,tt1826940,2,20,7.6,1381
tt2792628,tt1826940,2,21,7.7,1303
tt2802994,tt1826940,2,24,8.0,1308
tt2833784,tt1826940,2,25,8.6,1667
tt2846178,tt1826940,2,23,8.4,1693
tt3179610,tt1826940,3,2,7.5,1192
tt3216020,tt1826940,3,4,7.4,1148
tt3216892,tt1826940,3,3,7.6,1183
tt3216898,tt1826940,3,5,7.1,1124
tt3216958,tt1826940,3,7,7.6,1155
tt3251424,tt1826940,3,6,7.6,1122
tt3295812,tt1826940,3,9,7.4,1081
tt3301670,tt1826940,3,8,7.3,1098
tt3323830,tt1826940,3,11,7.4,1083
tt3352334,tt1826940,3,13,8.3,1334
tt3352356,tt1826940,3,10,7.3,1083
tt3460686,tt1826940,3,12,7.2,1015
tt3485572,tt1826940,3,15,7.5,1041
tt3487686,tt1826940,3,14,8.6,1888
tt3502694,tt1826940,3,16,7.2,1029
tt3546832,tt1826940,3,17,7.1,988
tt3546836,tt1826940,3,18,7.2,966
tt3565648,tt1826940,3,19,7.6,973
tt3587384,tt1826940,4,1,7.6,1114
tt3594630,tt1826940,3,20,7.3,1031
tt3626422,tt1826940,3,23,7.7,998
tt3663548,tt1826940,3,21,7.6,990
tt3680374,tt1826940,3,22,7.4,973
tt4029624,tt1826940,4,2,7.5,1044
tt4063176,tt1826940,4,3,7.2,986
tt4064296,tt1826940,4,4,7.3,1000
tt4085018,tt1826940,4,5,7.9,1109
tt4085022,tt1826940,4,6,8.7,1726
tt4085024,tt1826940,4,8,8.0,1058
tt4085026,tt1826940,4,7,8.1,1135
tt4085028,tt1826940,4,9,8.1,1074
tt4085030,tt1826940,4,10,7.6,958
tt4219932,tt1826940,4,13,7.1,886
tt4232492,tt1826940,4,11,7.5,1005
tt4273804,tt1826940,4,15,7.6,947
tt4290752,tt1826940,4,16,7.4,925
tt4333024,tt1826940,4,12,7.3,890
tt4421228,tt1826940,4,19,7.4,888
tt4423176,tt1826940,4,14,7.1,893
tt4462274,tt1826940,4,20,7.3,902
tt4479538,tt1826940,4,17,8.2,1128
tt4498402,tt1826940,4,18,7.5,955
tt4568392,tt1826940,4,22,9.0,1858
tt4568398,tt1826940,4,21,7.6,910
tt4568418,tt1826940,5,1,7.8,1080
tt4568440,tt1826940,5,4,7.3,920
tt4586310,tt1826940,5,3,7.5,892
tt4625200,tt1826940,5,2,7.2,921
tt5039226,tt1826940,5,6,7.5,1046
tt5150014,tt1826940,5,5,7.3,912
tt5243392,tt1826940,5,10,7.4,905
tt5275814,tt1826940,5,8,7.3,894
tt5275816,tt1826940,5,7,7.2,910
tt5357834,tt1826940,5,14,7.0,860
tt5390498,tt1826940,5,9,7.3,900
tt5459972,tt1826940,5,15,7.1,833
tt5459978,tt1826940,5,16,7.5,828
tt5503762,tt1826940,5,11,7.3,841
tt5537194,tt1826940,5,12,7.8,878
tt5540822,tt1826940,5,13,7.1,853
tt5613938,tt1826940,5,17,7.6,958
tt5646580,tt1826940,6,1,7.5,860
tt5668094,tt1826940,5,18,8.1,991
tt5688966,tt1826940,5,19,7.2,779
tt5689276,tt1826940,5,20,7.4,792
tt5691440,tt1826940,5,21,8.2,934
tt5691442,tt1826940,5,22,8.8,1279
tt6043856,tt1826940,6,4,7.5,982
tt6055160,tt1826940,6,2,6.5,1065
tt6068200,tt1826940,6,3,7.1,796
tt6115064,tt1826940,6,5,7.4,773
tt6115072,tt1826940,6,8,7.4,762
tt6199278,tt1826940,6,6,7.2,754
tt6212512,tt1826940,6,7,7.1,747
tt6212518,tt1826940,6,9,7.1,739
tt6212520,tt1826940,6,10,7.5,790
tt6236606,tt1826940,6,12,7.2,715
tt6287826,tt1826940,6,13,7.3,760
tt6334446,tt1826940,6,11,7.3,750
tt6334588,tt1826940,6,16,7.7,776
tt6340854,tt1826940,6,15,7.7,772
tt6397802,tt1826940,6,14,7.4,756
tt6523030,tt1826940,6,17,7.0,726
tt6523102,tt1826940,6,18,7.5,717
tt6570004,tt1826940,6,21,8.1,821
tt6598312,tt1826940,6,20,7.5,738
tt6598320,tt1826940,6,19,7.5,737
tt6628452,tt1826940,6,22,9.1,1608
tt6888528,tt1826940,7,1,7.2,932
tt6888532,tt1826940,7,8,8.3,1202
tt6903804,tt1826940,7,2,7.1,770
tt6903806,tt1826940,7,3,7.2,758
tt6903810,tt1826940,7,4,7.4,780
tt6903814,tt1826940,7,5,7.2,732
tt6903820,tt1826940,7,6,7.8,772
tt6903822,tt1826940,7,7,7.9,833
